模型 ID,模型名称,规格/模式,计费类型,价格来源,计费单位,APIMart 折后 USD,APIMart Credits,APIMart 成本（元）,导入成本积分,默认倍率,最终扣费积分,用户售价（元）,目标毛利率,免费数量,备注
MiniMax-H3,MiniMax-H3,default,per_second,fixed_prices,usd_per_second,0.09144,0.9144,0.6401,6.4008,1.4286,9.144183,0.9144,约 30%,,
MiniMax-H3,MiniMax-H3,2K,per_second,fixed_prices,usd_per_second,0.09144,0.9144,0.6401,6.4008,1.4286,9.144183,0.9144,约 30%,,
MiniMax-H3,MiniMax-H3,768P,per_second,fixed_prices,usd_per_second,0.05712,0.5712,0.3998,3.9984,1.4286,5.712114,0.5712,约 30%,,
MiniMax-H3,MiniMax-H3,image,input_material,input_material_prices.image,usd_per_image,0.02288,0.2288,0.1602,1.6016,1.4286,2.288046,0.2288,约 30%,5,
MiniMax-H3,MiniMax-H3,video:default,additive_duration,input_material_prices.video,usd_per_second,0.09144,0.9144,0.6401,6.4008,1.4286,9.144183,0.9144,约 30%,,最多计费 15 秒
MiniMax-H3,MiniMax-H3,video:2K,additive_duration,input_material_prices.video,usd_per_second,0.09144,0.9144,0.6401,6.4008,1.4286,9.144183,0.9144,约 30%,,最多计费 15 秒
MiniMax-H3,MiniMax-H3,video:768P,additive_duration,input_material_prices.video,usd_per_second,0.05712,0.5712,0.3998,3.9984,1.4286,5.712114,0.5712,约 30%,,最多计费 15 秒
MiniMax-H3-Context-IR,MiniMax-H3-Context-IR,default,token,fixed_prices,usd_per_call,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
MiniMax-H3-Regeneration,MiniMax-H3-Regeneration,default,per_second,fixed_prices,usd_per_second,0.03432,0.3432,0.2402,2.4024,1.4286,3.432069,0.3432,约 30%,,
MiniMax-H3-Regeneration,MiniMax-H3-Regeneration,2K,per_second,fixed_prices,usd_per_second,0.03432,0.3432,0.2402,2.4024,1.4286,3.432069,0.3432,约 30%,,
MiniMax-H3-Regeneration,MiniMax-H3-Regeneration,image,input_material,input_material_prices.image,usd_per_image,0.01712,0.1712,0.1198,1.1984,1.4286,1.712034,0.1712,约 30%,5,
MiniMax-H3-Regeneration,MiniMax-H3-Regeneration,video:default,additive_duration,input_material_prices.video,usd_per_second,0.03432,0.3432,0.2402,2.4024,1.4286,3.432069,0.3432,约 30%,,最多计费 15 秒
MiniMax-H3-Regeneration,MiniMax-H3-Regeneration,video:2K,additive_duration,input_material_prices.video,usd_per_second,0.03432,0.3432,0.2402,2.4024,1.4286,3.432069,0.3432,约 30%,,最多计费 15 秒
MiniMax-Hailuo-02,MiniMax-Hailuo-02,1080P,per_second,fixed_prices,usd_per_second,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
MiniMax-Hailuo-02,MiniMax-Hailuo-02,512P,per_second,fixed_prices,usd_per_second,0.0104,0.104,0.0728,0.728,1.4286,1.040021,0.104,约 30%,,
